sets,release_year,num_parts,media_franchise,inception,original_medium,revenue
Republic Gunship,2013,1175,Star Wars,1977,Film,46.7
Mandalorian Speeder,2013,211,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2013,2013,254,Star Wars,1977,Film,46.7
HH-87 Starhopper,2014,362,Star Wars,1977,Film,46.7
Jedi Defender-class Cruiser,2013,927,Star Wars,1977,Film,46.7
Clone Turbo Tank,2014,96,Star Wars,1977,Film,46.7
AAT,2014,95,Star Wars,1977,Film,46.7
Millennium Falcon,2014,94,Star Wars,1977,Film,46.7
TIE Interceptor,2014,92,Star Wars,1977,Film,46.7
X-Wing Fighter,2014,97,Star Wars,1977,Film,46.7
Star Destroyer,2014,97,Star Wars,1977,Film,46.7
Death Star Troopers,2014,100,Star Wars,1977,Film,46.7
Kashyyyk Troopers,2014,99,Star Wars,1977,Film,46.7
Utapau Troopers,2014,83,Star Wars,1977,Film,46.7
Battle on Saleucami,2014,156,Star Wars,1977,Film,46.7
Jedi Interceptor,2014,223,Star Wars,1977,Film,46.7
V-Wing Starfighter,2014,201,Star Wars,1977,Film,46.7
General Grievous' Wheel Bike,2014,261,Star Wars,1977,Film,46.7
Vulture Droid,2014,205,Star Wars,1977,Film,46.7
Droid Gunship,2014,439,Star Wars,1977,Film,46.7
AT-AP,2014,717,Star Wars,1977,Film,46.7
Droid Tri-Fighter,2014,262,Star Wars,1977,Film,46.7
Republic AV-7 Anti-Vehicle Cannon,2014,434,Star Wars,1977,Film,46.7
Coruscant Police Gunship,2014,481,Star Wars,1977,Film,46.7
The Phantom,2014,234,Star Wars,1977,Film,46.7
Snowspeeder,2014,279,Star Wars,1977,Film,46.7
B-Wing,2014,448,Star Wars,1977,Film,46.7
Jedi Scout Fighter,2014,490,Star Wars,1977,Film,46.7
Mos Eisley Cantina,2014,616,Star Wars,1977,Film,46.7
The Ghost,2014,929,Star Wars,1977,Film,46.7
AT-AT,2014,1138,Star Wars,1977,Film,46.7
Imperial Star Destroyer,2014,1359,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2014,2014,275,Star Wars,1977,Film,46.7
MTT,2014,954,Star Wars,1977,Film,46.7
ARC-170 Starfighter,2015,95,Star Wars,1977,Film,46.7
Vulture Droid,2015,77,Star Wars,1977,Film,46.7
Snowspeeder,2015,97,Star Wars,1977,Film,46.7
AT-AT,2015,88,Star Wars,1977,Film,46.7
Republic Gunship,2015,105,Star Wars,1977,Film,46.7
Homing Spider Droid,2015,102,Star Wars,1977,Film,46.7
Imperial Troop Transport,2015,141,Star Wars,1977,Film,46.7
Shadow Troopers,2015,95,Star Wars,1977,Film,46.7
AAT,2015,251,Star Wars,1977,Film,46.7
T-16 Skyhopper,2015,247,Star Wars,1977,Film,46.7
TIE Advanced Prototype,2015,355,Star Wars,1977,Film,46.7
AT-DP,2015,500,Star Wars,1977,Film,46.7
Wookiee Gunship,2015,570,Star Wars,1977,Film,46.7
Hailfire Droid,2015,163,Star Wars,1977,Film,46.7
Battle Droid Troop Carrier,2015,565,Star Wars,1977,Film,46.7
Anakin's Custom Jedi Starfighter,2015,370,Star Wars,1977,Film,46.7
Senate Commando Troopers,2015,106,Star Wars,1977,Film,46.7
Geonosis Troopers,2015,105,Star Wars,1977,Film,46.7
Ezra's Speeder Bike [Redesigned Version],2015,267,Star Wars,1977,Film,46.7
Ezra's Speeder Bike [Original Version],2015,253,Star Wars,1977,Film,46.7
Flash Speeder,2015,312,Star Wars,1977,Film,46.7
Naboo Starfighter,2015,442,Star Wars,1977,Film,46.7
Death Star Final Duel,2015,724,Star Wars,1977,Film,46.7
Imperial Shuttle Tydirium,2015,937,Star Wars,1977,Film,46.7
Sith Infiltrator,2015,662,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2015,2015,291,Star Wars,1977,Film,46.7
Rey's Speeder,2015,193,Star Wars,1977,Film,46.7
First Order Snowspeeder,2015,444,Star Wars,1977,Film,46.7
First Order Special Forces TIE Fighter,2015,533,Star Wars,1977,Film,46.7
Poe's X-Wing Fighter,2015,716,Star Wars,1977,Film,46.7
First Order Transporter,2015,792,Star Wars,1977,Film,46.7
Kylo Ren's Command Shuttle,2015,1005,Star Wars,1977,Film,46.7
Millennium Falcon,2015,1330,Star Wars,1977,Film,46.7
Imperial Assault Carrier,2015,1217,Star Wars,1977,Film,46.7
Jango Fett,2015,85,Star Wars,1977,Film,46.7
Clone Commander Cody,2015,82,Star Wars,1977,Film,46.7
Obi-Wan Kenobi,2015,83,Star Wars,1977,Film,46.7
Luke Skywalker,2015,83,Star Wars,1977,Film,46.7
Darth Vader,2015,160,Star Wars,1977,Film,46.7
General Grievous,2015,186,Star Wars,1977,Film,46.7
Rey,2016,84,Star Wars,1977,Film,46.7
First Order Stormtrooper,2016,81,Star Wars,1977,Film,46.7
Poe Dameron,2016,102,Star Wars,1977,Film,46.7
Finn,2016,98,Star Wars,1977,Film,46.7
Kylo Ren,2016,86,Star Wars,1977,Film,46.7
Captain Phasma,2016,82,Star Wars,1977,Film,46.7
Sergeant Jyn Erso,2016,104,Star Wars,1977,Film,46.7
K-2SO,2016,169,Star Wars,1977,Film,46.7
Imperial Death Trooper,2016,106,Star Wars,1977,Film,46.7
Resistance X-Wing Fighter,2016,87,Star Wars,1977,Film,46.7
First Order Snowspeeder,2016,91,Star Wars,1977,Film,46.7
The Ghost,2016,104,Star Wars,1977,Film,46.7
TIE Advanced Prototype,2016,93,Star Wars,1977,Film,46.7
Wookiee Gunship,2016,84,Star Wars,1977,Film,46.7
AT-DP,2016,76,Star Wars,1977,Film,46.7
Resistance Trooper Battle Pack,2016,112,Star Wars,1977,Film,46.7
First Order Battle Pack,2016,88,Star Wars,1977,Film,46.7
Rebel Alliance Battle Pack,2016,101,Star Wars,1977,Film,46.7
Galactic Empire Battle Pack,2016,109,Star Wars,1977,Film,46.7
Obi-Wan's Jedi Interceptor,2016,215,Star Wars,1977,Film,46.7
Droid Escape Pod,2016,197,Star Wars,1977,Film,46.7
Carbon-Freezing Chamber,2016,231,Star Wars,1977,Film,46.7
Hoth Attack,2016,233,Star Wars,1977,Film,46.7
Battle on Takodana,2016,409,Star Wars,1977,Film,46.7
Resistance Troop Transporter,2016,646,Star Wars,1977,Film,46.7
Kanan's Speeder Bike,2016,234,Star Wars,1977,Film,46.7
Homing Spider Droid,2016,310,Star Wars,1977,Film,46.7
Eclipse Fighter,2016,363,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2016,2016,282,Star Wars,1977,Film,46.7
StarScavenger,2016,558,Star Wars,1977,Film,46.7
Encounter on Jakku,2016,530,Star Wars,1977,Film,46.7
Resistance X-Wing Fighter,2016,742,Star Wars,1977,Film,46.7
Vader's TIE Advanced vs. A-Wing Starfighter,2016,702,Star Wars,1977,Film,46.7
Clone Turbo Tank,2016,903,Star Wars,1977,Film,46.7
Imperial Assault Hovertank,2016,385,Star Wars,1977,Film,46.7
AT-ST Walker,2016,449,Star Wars,1977,Film,46.7
TIE Striker,2016,543,Star Wars,1977,Film,46.7
Rebel U-Wing Fighter,2016,659,Star Wars,1977,Film,46.7
Krennic's Imperial Shuttle,2016,863,Star Wars,1977,Film,46.7
Captain Rex's AT-TE,2016,972,Star Wars,1977,Film,46.7
Rebel Combat Frigate,2016,936,Star Wars,1977,Film,46.7
U-Wing Microfighter,2017,108,Star Wars,1977,Film,46.7
TIE Striker Microfighter,2017,87,Star Wars,1977,Film,46.7
Y-Wing Microfighter,2017,90,Star Wars,1977,Film,46.7
Krennic's Imperial Shuttle Microfighter,2017,77,Star Wars,1977,Film,46.7
Rebel Trooper Battle Pack,2017,119,Star Wars,1977,Film,46.7
Imperial Trooper Battle Pack,2017,111,Star Wars,1977,Film,46.7
First Order Transport Speeder Battle Pack,2017,117,Star Wars,1977,Film,46.7
Bounty Hunter Speeder Bike Battle Pack,2017,125,Star Wars,1977,Film,46.7
Yoda's Jedi Starfighter,2017,262,Star Wars,1977,Film,46.7
Duel on Naboo,2017,208,Star Wars,1977,Film,46.7
The Phantom,2017,269,Star Wars,1977,Film,46.7
Battle on Scarif,2017,419,Star Wars,1977,Film,46.7
Y-Wing Starfighter,2017,691,Star Wars,1977,Film,46.7
Luke's Landspeeder,2017,149,Star Wars,1977,Film,46.7
Desert Skiff Escape,2017,284,Star Wars,1977,Film,46.7
A-Wing Starfighter,2017,358,Star Wars,1977,Film,46.7
Resistance Transport Pod,2017,294,Star Wars,1977,Film,46.7
First Order Heavy Scout Walker,2017,554,Star Wars,1977,Film,46.7
Jakku Quadjumper,2017,457,Star Wars,1977,Film,46.7
Kylo Ren's TIE Fighter,2017,630,Star Wars,1977,Film,46.7
Rathtar Escape,2017,836,Star Wars,1977,Film,46.7
Republic Fighter Tank,2017,305,Star Wars,1977,Film,46.7
Darth Vader Transformation,2017,290,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2017,2017,309,Star Wars,1977,Film,46.7
Tracker I,2017,557,Star Wars,1977,Film,46.7
The Arrowhead,2017,775,Star Wars,1977,Film,46.7
BB-8,2017,1106,Star Wars,1977,Film,46.7
Resistance Bomber,2017,780,Star Wars,1977,Film,46.7
Resistance Bomber (Finch Dallow version),2018,780,Star Wars,1977,Film,46.7
First Order Heavy Assault Walker,2017,1376,Star Wars,1977,Film,46.7
First Order Star Destroyer,2017,1416,Star Wars,1977,Film,46.7
Jedi Starfighter with Hyperdrive,2017,832,Star Wars,1977,Film,46.7
Millennium Falcon Microfighter,2018,92,Star Wars,1977,Film,46.7
First Order TIE Fighter Microfighter,2018,91,Star Wars,1977,Film,46.7
Ski Speeder vs First Order Walker Microfighters,2018,216,Star Wars,1977,Film,46.7
A-Wing vs. TIE Silencer Microfighters,2018,188,Star Wars,1977,Film,46.7
First Order Specialists Battle Pack,2018,108,Star Wars,1977,Film,46.7
Tatooine Battle Pack,2018,97,Star Wars,1977,Film,46.7
General Grievous' Combat Speeder,2018,157,Star Wars,1977,Film,46.7
Ahch-To Island Training,2018,241,Star Wars,1977,Film,46.7
First Order AT-ST,2018,370,Star Wars,1977,Film,46.7
Defense of Crait,2018,746,Star Wars,1977,Film,46.7
Hoth Medical Chamber,2018,255,Star Wars,1977,Film,46.7
Sandspeeder,2018,278,Star Wars,1977,Film,46.7
Mos Eisley Cantina,2018,376,Star Wars,1977,Film,46.7
Jedi and Clone Troopers Battle Pack,2018,102,Star Wars,1977,Film,46.7
Imperial Patrol Battle Pack,2018,99,Star Wars,1977,Film,46.7
Yoda's Hut,2018,229,Star Wars,1977,Film,46.7
Han Solo's Landspeeder,2018,345,Star Wars,1977,Film,46.7
Moloch's Landspeeder,2018,464,Star Wars,1977,Film,46.7
Imperial TIE Fighter,2018,519,Star Wars,1977,Film,46.7
Kessel Run Millennium Falcon,2018,1414,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2018,2018,307,Star Wars,1977,Film,46.7
Anakin's Jedi Starfighter,2018,247,Star Wars,1977,Film,46.7
Cloud-Rider Swoop Bikes,2018,355,Star Wars,1977,Film,46.7
Snoke's Throne Room,2018,492,Star Wars,1977,Film,46.7
Imperial Conveyex Transport,2018,622,Star Wars,1977,Film,46.7
X-Wing Starfighter,2018,730,Star Wars,1977,Film,46.7
Imperial AT-Hauler,2018,829,Star Wars,1977,Film,46.7
Sandcrawler,2018,1239,Star Wars,1977,Film,46.7
Imperial Landing Craft,2018,636,Star Wars,1977,Film,46.7
Betrayal at Cloud City,2018,2812,Star Wars,1977,Film,46.7
Naboo Starfighter Microfighter,2019,62,Star Wars,1977,Film,46.7
Sith Infiltrator Microfighter,2019,92,Star Wars,1977,Film,46.7
Elite Praetorian Guard Battle Pack,2019,109,Star Wars,1977,Film,46.7
Inferno Squad Battle Pack,2019,118,Star Wars,1977,Film,46.7
Darth Vader Bust,2019,327,Star Wars,1977,Film,46.7
Escape Pod vs. Dewback Microfighters,2019,177,Star Wars,1977,Film,46.7
Death Star Escape,2019,329,Star Wars,1977,Film,46.7
Porg,2018,811,Star Wars,1977,Film,46.7
Droid Gunship,2019,389,Star Wars,1977,Film,46.7
AT-AP Walker,2019,689,Star Wars,1977,Film,46.7
X-Wing Starfighter Trench Run,2019,132,Star Wars,1977,Film,46.7
Duel on Starkiller Base,2019,191,Star Wars,1977,Film,46.7
TIE Fighter Attack,2019,77,Star Wars,1977,Film,46.7
Action Battle Endor Assault,2019,193,Star Wars,1977,Film,46.7
Action Battle Hoth Generator Attack,2019,235,Star Wars,1977,Film,46.7
Major Vonreg's TIE Fighter,2019,496,Star Wars,1977,Film,46.7
Action Battle Echo Base Defense,2019,504,Star Wars,1977,Film,46.7
Black Ace TIE Interceptor,2019,396,Star Wars,1977,Film,46.7
Slave I - 20th Anniversary Edition,2019,1007,Star Wars,1977,Film,46.7
Tantive IV,2019,1772,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2019,2019,280,Star Wars,1977,Film,46.7
Death Star Cannon,2019,159,Star Wars,1977,Film,46.7
Rebel A-Wing Starfighter,2019,62,Star Wars,1977,Film,46.7
Resistance A-Wing Starfighter,2019,269,Star Wars,1977,Film,46.7
Resistance Y-Wing Starfighter,2019,578,Star Wars,1977,Film,46.7
Pasaana Speeder Chase,2019,373,Star Wars,1977,Film,46.7
Darth Vader's Castle,2018,1060,Star Wars,1977,Film,46.7
Droid Commander,2019,1177,Star Wars,1977,Film,46.7
AT-ST Raider,2019,540,Star Wars,1977,Film,46.7
Yoda,2019,1771,Star Wars,1977,Film,46.7
Kylo Ren's Shuttle,2019,1005,Star Wars,1977,Film,46.7
Millennium Falcon,2019,1351,Star Wars,1977,Film,46.7
Anakin's Podracer - 20th Anniversary Edition,2019,279,Star Wars,1977,Film,46.7
Snowspeeder - 20th Anniversary Edition,2019,309,Star Wars,1977,Film,46.7
Clone Scout Walker - 20th Anniversary Edition,2019,250,Star Wars,1977,Film,46.7
Imperial Dropship - 20th Anniversary Edition,2019,125,Star Wars,1977,Film,46.7
Resistance Y-wing Microfighter,2020,86,Star Wars,1977,Film,46.7
Kylo Ren's Shuttle Microfighter,2020,72,Star Wars,1977,Film,46.7
T-16 Skyhopper vs. Bantha Microfighters,2020,198,Star Wars,1977,Film,46.7
Sith Troopers Battle Pack,2020,105,Star Wars,1977,Film,46.7
Mandalorian Battle Pack,2020,107,Star Wars,1977,Film,46.7
Snowspeeder,2020,91,Star Wars,1977,Film,46.7
Duel on Mustafar,2020,208,Star Wars,1977,Film,46.7
Obi-Wan's Hut,2020,200,Star Wars,1977,Film,46.7
Luke Skywalker's Landspeeder,2020,236,Star Wars,1977,Film,46.7
Sith TIE Fighter,2020,470,Star Wars,1977,Film,46.7
Poe Dameron's X-wing Fighter,2020,761,Star Wars,1977,Film,46.7
TIE Fighter Pilot,2020,724,Star Wars,1977,Film,46.7
Stormtrooper,2020,647,Star Wars,1977,Film,46.7
Boba Fett,2020,625,Star Wars,1977,Film,46.7
D-O,2020,519,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2020,2020,311,Star Wars,1977,Film,46.7
501st Legion Clone Troopers,2020,285,Star Wars,1977,Film,46.7
Anakin's Jedi Interceptor,2020,248,Star Wars,1977,Film,46.7
Armored Assault Tank (AAT),2020,286,Star Wars,1977,Film,46.7
Knights of Ren Transport Ship,2020,595,Star Wars,1977,Film,46.7
General Grievous's Starfighter,2020,487,Star Wars,1977,Film,46.7
AT-AT,2020,1267,Star Wars,1977,Film,46.7
Mos Eisley Cantina,2020,3187,Star Wars,1977,Film,46.7
Death Star Final Duel,2020,775,Star Wars,1977,Film,46.7
The Razor Crest,2020,1023,Star Wars,1977,Film,46.7
Resistance I-TS Transport,2020,932,Star Wars,1977,Film,46.7
Bespin Duel,2020,295,Star Wars,1977,Film,46.7
Millennium Falcon Microfighter,2021,101,Star Wars,1977,Film,46.7
Darth Vader Meditation Chamber,2021,663,Star Wars,1977,Film,46.7
Resistance X-Wing,2021,60,Star Wars,1977,Film,46.7
AT-AT vs. Tauntaun Microfighters,2021,205,Star Wars,1977,Film,46.7
Trouble on Tatooine,2021,276,Star Wars,1977,Film,46.7
Imperial TIE Fighter,2021,432,Star Wars,1977,Film,46.7
Luke Skywalker's X-Wing Fighter,2021,474,Star Wars,1977,Film,46.7
Imperial Shuttle,2021,660,Star Wars,1977,Film,46.7
Darth Vader,2021,834,Star Wars,1977,Film,46.7
Scout Trooper,2021,471,Star Wars,1977,Film,46.7
Imperial Probe Droid,2021,693,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2021,2021,336,Star Wars,1977,Film,46.7
R2-D2,2021,2314,Star Wars,1977,Film,46.7
Duel on Mandalore,2021,147,Star Wars,1977,Film,46.7
Imperial Armored Marauder,2021,478,Star Wars,1977,Film,46.7
Boba Fett's Starship,2021,600,Star Wars,1977,Film,46.7
The Bad Batch Attack Shuttle,2021,970,Star Wars,1977,Film,46.7
Imperial Light Cruiser,2021,1336,Star Wars,1977,Film,46.7
Mandalorian Starfighter,2021,544,Star Wars,1977,Film,46.7
The Child,2020,1073,Star Wars,1977,Film,46.7
The Armorer's Mandalorian Forge,2021,258,Star Wars,1977,Film,46.7
Snowtrooper Battle Pack,2022,105,Star Wars,1977,Film,46.7
The Razor Crest Microfighter,2022,98,Star Wars,1977,Film,46.7
Hoth AT-ST,2022,586,Star Wars,1977,Film,46.7
The Justifier,2022,1023,Star Wars,1977,Film,46.7
Dark Trooper Attack,2022,166,Star Wars,1977,Film,46.7
The Mandalorian's N-1 Starfighter,2022,412,Star Wars,1977,Film,46.7
Boba Fett's Throne Room,2022,732,Star Wars,1977,Film,46.7
Luke Skywalker (Red Five) Helmet,2022,675,Star Wars,1977,Film,46.7
The Mandalorian Helmet,2022,584,Star Wars,1977,Film,46.7
Death Star Trench Run Diorama,2022,665,Star Wars,1977,Film,46.7
Dagobah Jedi Training Diorama,2022,1000,Star Wars,1977,Film,46.7
AT-ST,2022,87,Star Wars,1977,Film,46.7
Obi-Wan Kenobi's Jedi Starfighter,2022,282,Star Wars,1977,Film,46.7
Obi-Wan Kenobi vs. Darth Vader,2022,408,Star Wars,1977,Film,46.7
BD-1,2022,1062,Star Wars,1977,Film,46.7
Inquisitor Transport Scythe,2022,924,Star Wars,1977,Film,46.7
AT-TE Walker,2022,1082,Star Wars,1977,Film,46.7
Ambush on Ferrix,2022,679,Star Wars,1977,Film,46.7
Death Star Trash Compactor Diorama,2022,802,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2022,2022,329,Star Wars,1977,Film,46.7
Republic Fighter Tank,2022,262,Star Wars,1977,Film,46.7
Dark Trooper Helmet,2022,693,Star Wars,1977,Film,46.7
Boba Fett's Starship Microfighter,2023,85,Star Wars,1977,Film,46.7
501st Clone Troopers Battle Pack,2023,121,Star Wars,1977,Film,46.7
Pirate Snub Fighter,2023,285,Star Wars,1977,Film,46.7
TIE Bomber,2023,625,Star Wars,1977,Film,46.7
Mandalorian Fang Fighter vs. TIE Interceptor,2023,957,Star Wars,1977,Film,46.7
Captain Rex Helmet,2023,854,Star Wars,1977,Film,46.7
Clone Commander Cody Helmet,2023,766,Star Wars,1977,Film,46.7
Princess Leia (Boushh) Helmet,2023,670,Star Wars,1977,Film,46.7
Emperor's Throne Room Diorama,2023,807,Star Wars,1977,Film,46.7
Endor Speeder Chase Diorama,2023,608,Star Wars,1977,Film,46.7
Coruscant Guard Gunship,2023,1083,Star Wars,1977,Film,46.7
Executor Super Star Destroyer,2023,630,Star Wars,1977,Film,46.7
Ghost & Phantom II,2023,1394,Star Wars,1977,Film,46.7
Tenoo Jedi Temple,2023,124,Star Wars,1977,Film,46.7
332nd Ahsoka's Clone Trooper Battle Pack,2023,108,Star Wars,1977,Film,46.7
Yoda's Jedi Starfighter,2023,253,Star Wars,1977,Film,46.7
Spider Tank,2023,526,Star Wars,1977,Film,46.7
Ahsoka Tano's T-6 Jedi Shuttle,2023,608,Star Wars,1977,Film,46.7
The Mandalorian N-1 Starfighter Microfighter,2023,88,Star Wars,1977,Film,46.7
New Republic E-Wing vs. Shin Hati’s Starfighter,2023,1056,Star Wars,1977,Film,46.7
Yavin 4 Rebel Base,2023,1067,Star Wars,1977,Film,46.7
Star Wars Advent Calendar 2023,2023,320,Star Wars,1977,Film,46.7
Darth Vader Mech,2023,139,Star Wars,1977,Film,46.7
Boba Fett Mech,2023,155,Star Wars,1977,Film,46.7
Stormtrooper Mech,2023,138,Star Wars,1977,Film,46.7
Chewbacca,2023,2319,Star Wars,1977,Film,46.7
Millennium Falcon Cockpit,2018,203,Star Wars,1977,Film,46.7
Mini Droid Commander,2019,62,Star Wars,1977,Film,46.7
Scarif Stormtrooper,2017,89,Star Wars,1977,Film,46.7
Chirrut Îmwe,2017,87,Star Wars,1977,Film,46.7
Baze Malbus,2017,148,Star Wars,1977,Film,46.7
Elite TIE Fighter Pilot,2017,94,Star Wars,1977,Film,46.7
Rey,2017,85,Star Wars,1977,Film,46.7
Elite Praetorian Guard,2017,92,Star Wars,1977,Film,46.7
Chewbacca,2017,179,Star Wars,1977,Film,46.7
Stormtrooper Commander,2017,100,Star Wars,1977,Film,46.7
Scout Trooper & Speeder Bike,2017,452,Star Wars,1977,Film,46.7
Boba Fett,2018,144,Star Wars,1977,Film,46.7
Darth Vader,2018,168,Star Wars,1977,Film,46.7
Han Solo,2018,100,Star Wars,1977,Film,46.7
Range Trooper,2018,101,Star Wars,1977,Film,46.7
Darth Maul,2018,104,Star Wars,1977,Film,46.7
Minions in Gru's Lab,2021,87,Minions,2010,Animated film,11.3
Minion Pilot in Training,2021,119,Minions,2010,Animated film,11.3
Unstoppable Bike Chase,2020,136,Minions,2010,Animated film,11.3
Minions Kung Fu Battle,2021,310,Minions,2010,Animated film,11.3
Brick-Built Minions and Their Lair,2020,876,Minions,2010,Animated film,11.3
Neytiri & Thanator vs. AMP Suit Quaritch,2022,560,Avatar,2009,Film,5.78
Jake & Neytiri's First Banshee Flight,2022,578,Avatar,2009,Film,5.78
Floating Mountains: Site 26 & RDA Samson,2022,887,Avatar,2009,Film,5.78
Toruk Makto & Tree of Souls,2022,1217,Avatar,2009,Film,5.78
Ilu Discovery,2023,179,Avatar,2009,Film,5.78
Skimwing Adventure,2023,259,Avatar,2009,Film,5.78
Mako Submarine​,2023,553,Avatar,2009,Film,5.78
Metkayina Reef Home,2023,528,Avatar,2009,Film,5.78
Payakan the Tulkun & Crabsuit,2023,761,Avatar,2009,Film,5.78
Piggy Car Escape,2016,74,Angry Birds,2009,Video game,9.19
Piggy Plane Attack,2016,168,Angry Birds,2009,Video game,9.19
Bird Island Egg Heist,2016,281,Angry Birds,2009,Video game,9.19
Pig City Teardown,2016,386,Angry Birds,2009,Video game,9.19
Piggy Pirate Ship,2016,620,Angry Birds,2009,Video game,9.19
King Pig's Castle,2016,859,Angry Birds,2009,Video game,9.19
Firehouse Headquarters,2016,4642,Ghostbusters,1984,Film,2.02
Ecto-1 & 2,2016,556,Ghostbusters,1984,Film,2.02
Mummy Museum Mystery,2015,110,Scooby-Doo,1969,Animated series,4.6899999999999995
Woody and Buzz to the Rescue,2010,92,Toy Story,1995,Animated film,14.8
Mystery Plane Adventures,2015,128,Scooby-Doo,1969,Animated series,4.6899999999999995
The Mystery Machine,2015,301,Scooby-Doo,1969,Animated series,4.6899999999999995
Haunted Lighthouse,2015,437,Scooby-Doo,1969,Animated series,4.6899999999999995
Mystery Mansion,2015,861,Scooby-Doo,1969,Animated series,4.6899999999999995
Construct-a-Zurg,2010,118,Toy Story,1995,Animated film,14.8
Pteranodon Capture,2015,174,Jurassic World,1990,Novel,8.82
Dilophosaurus Ambush,2015,248,Jurassic World,1990,Novel,8.82
Raptor Rampage,2015,324,Jurassic World,1990,Novel,8.82
T-Rex Tracker,2015,521,Jurassic World,1990,Novel,8.82
Indominus rex Breakout,2015,1156,Jurassic World,1990,Novel,8.82
Raptor Escape,2015,394,Jurassic World,1990,Novel,8.82
Construct-a-Buzz,2010,211,Toy Story,1995,Animated film,14.8
Pteranodon Chase,2018,126,Jurassic World,1990,Novel,8.82
Stygimoloch Breakout,2018,222,Jurassic World,1990,Novel,8.82
Blue's Helicopter Pursuit,2018,397,Jurassic World,1990,Novel,8.82
Carnotaurus Gyrosphere Escape,2018,577,Jurassic World,1990,Novel,8.82
Indoraptor Rampage at Lockwood,2018,1019,Jurassic World,1990,Novel,8.82
Buzz's Star Command Spaceship,2010,257,Toy Story,1995,Animated film,14.8
Dilophosaurus Outpost Attack,2018,289,Jurassic World,1990,Novel,8.82
Jurassic Park Velociraptor Chase,2018,360,Jurassic World,1990,Novel,8.82
T-Rex Transport,2018,609,Jurassic World,1990,Novel,8.82
Dilophosaurus on the Loose,2019,168,Jurassic World,1990,Novel,8.82
Baryonyx Face-Off: The Treasure Hunt,2019,434,Jurassic World,1990,Novel,8.82
Jurassic Park: T. rex Rampage,2019,3120,Jurassic World,1990,Novel,8.82
Triceratops Rampage,2019,447,Jurassic World,1990,Novel,8.82
T. rex vs Dino-Mech Battle,2019,716,Jurassic World,1990,Novel,8.82
Dr. Wu's Lab: Baby Dinosaurs Breakout,2020,164,Jurassic World,1990,Novel,8.82
Gallimimus and Pteranodon Breakout,2020,392,Jurassic World,1990,Novel,8.82
Woody's Roundup!,2010,502,Toy Story,1995,Animated film,14.8
Indominus rex vs. Ankylosaurus,2020,537,Jurassic World,1990,Novel,8.82
Velociraptor: Biplane Rescue Mission​,2020,101,Jurassic World,1990,Novel,8.82
Expecto Patronum,2019,121,Harry Potter,1997,Novel,34.5
Hungarian Horntail Triwizard Challenge,2019,265,Harry Potter,1997,Novel,34.5
Hagrid's Hut: Buckbeak's Rescue,2019,496,Harry Potter,1997,Novel,34.5
Hogwarts Clock Tower,2019,926,Harry Potter,1997,Novel,34.5
Aragog's Lair,2018,157,Harry Potter,1997,Novel,34.5
Army Men on Patrol,2010,90,Toy Story,1995,Animated film,14.8
Hogwarts Whomping Willow,2018,754,Harry Potter,1997,Novel,34.5
Hogwarts Great Hall,2018,882,Harry Potter,1997,Novel,34.5
Hogwarts Express,2018,806,Harry Potter,1997,Novel,34.5
Quidditch Match,2018,500,Harry Potter,1997,Novel,34.5
The Knight Bus,2019,403,Harry Potter,1997,Novel,34.5
Beauxbatons' Carriage: Arrival at Hogwarts,2019,431,Harry Potter,1997,Novel,34.5
Trash Compactor Escape,2010,373,Toy Story,1995,Animated film,14.8
Harry Potter Advent Calendar 2019,2019,305,Harry Potter,1997,Novel,34.5
The Rise of Voldemort,2019,186,Harry Potter,1997,Novel,34.5
Hogwarts Room of Requirement,2020,194,Harry Potter,1997,Novel,34.5
Forbidden Forest: Umbridge's Encounter,2020,254,Harry Potter,1997,Novel,34.5
4 Privet Drive,2020,797,Harry Potter,1997,Novel,34.5
Hogwarts Astronomy Tower,2020,971,Harry Potter,1997,Novel,34.5
Western Train Chase,2010,586,Toy Story,1995,Animated film,14.8
Diagon Alley,2020,5548,Harry Potter,1997,Novel,34.5
Hedwig,2020,630,Harry Potter,1997,Novel,34.5
Attack on The Burrow,2020,1052,Harry Potter,1997,Novel,34.5
Pizza Planet Truck Rescue,2010,226,Toy Story,1995,Animated film,14.8
Harry Potter Advent Calendar 2020,2020,335,Harry Potter,1997,Novel,34.5
Garbage Truck Getaway,2010,402,Toy Story,1995,Animated film,14.8
Ant-Man & The Wasp,2018,218,Marvel,2008,Film,32.2
Arctic Batman vs. Mr. Freeze: Aquaman on Ice,2013,199,Batman,1939,Comic book,29.6
The Bat vs. Bane: Tumbler Chase,2013,368,Batman,1939,Comic book,29.6
Superman: Metropolis Showdown,2013,119,DC Comics,2013,Film,7.76
Superman: Battle of Smallville,2013,419,DC Comics,2013,Film,7.76
Spider-Man: Spider-Cycle Chase,2013,238,Spider-Man,1962,Comic book,25.4
